epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.9469,2.10767,5.48404,1.79947,0.00933,0.22152,0.03517,0.02147,1.56431,3.89547,1.37675,0.000275022,0.000275022,0.000275022
2,125.873,1.53249,5.76379,1.42088,0.06463,0.16667,0.0864,0.05272,1.41183,3.61982,1.27942,0.000549041,0.000549041,0.000549041
3,188.977,1.4202,5.69696,1.31087,0.24703,0.29698,0.23433,0.15418,1.36476,3.07341,1.23616,0.000819395,0.000819395,0.000819395
4,251.977,1.31805,4.47631,1.22856,0.48663,0.4432,0.35513,0.23035,1.17167,3.60796,1.14826,0.000816507,0.000816507,0.000816507
5,314.899,1.22352,6.68447,1.19908,0.51669,0.49797,0.41382,0.25465,1.24274,2.95262,1.13549,0.000811009,0.000811009,0.000811009
6,378.059,1.2432,3.37969,1.22446,0.68804,0.48105,0.4871,0.3318,1.07767,1.66909,1.08385,0.000805511,0.000805511,0.000805511
7,441.185,1.18212,4.51833,1.15588,0.80995,0.63383,0.66189,0.49146,0.98833,1.48314,1.0475,0.000800013,0.000800013,0.000800013
8,504.316,1.23822,3.08781,1.14656,0.61017,0.51838,0.57613,0.37746,1.06053,1.66835,1.11433,0.000794515,0.000794515,0.000794515
9,567.481,1.20944,3.41169,1.1337,0.92771,0.57975,0.61059,0.42032,1.08369,1.30263,1.09036,0.000789018,0.000789018,0.000789018
10,630.476,1.13427,2.92602,1.13723,0.94382,0.50999,0.61754,0.43581,1.03487,1.38243,1.05715,0.00078352,0.00078352,0.00078352
11,694.215,1.11245,3.13321,1.0954,0.94223,0.68323,0.72153,0.52636,1.07001,1.3261,1.13801,0.000778022,0.000778022,0.000778022
12,757.874,1.10785,2.54537,1.10364,0.86907,0.71803,0.79674,0.59807,1.06584,1.79051,1.06815,0.000772524,0.000772524,0.000772524
13,821.176,1.15144,3.70395,1.1162,0.88942,0.68225,0.73934,0.56227,1.06905,1.16671,1.04955,0.000767026,0.000767026,0.000767026
14,884.433,1.0886,2.4099,1.11571,0.89883,0.68262,0.73985,0.57722,1.00131,1.02378,1.04436,0.000761529,0.000761529,0.000761529
15,947.557,1.03793,4.28709,1.0618,0.79931,0.69466,0.75083,0.5854,1.01261,1.01715,1.07468,0.000756031,0.000756031,0.000756031
16,1010.84,1.00699,3.32717,1.04957,0.96016,0.68395,0.77059,0.5775,0.98463,1.00479,1.04117,0.000750533,0.000750533,0.000750533
17,1074.04,1.07538,3.88877,1.11074,0.97976,0.68159,0.76681,0.59292,1.00214,1.01547,1.02696,0.000745035,0.000745035,0.000745035
18,1137.23,0.9798,3.13508,1.02601,0.81914,0.70238,0.79519,0.61423,0.97359,1.08948,1.01986,0.000739537,0.000739537,0.000739537
